sample_id,ablation,label,delta_dice
sample_1482,w/o transport-aware footprint,No footprint,0.041170994563449526
sample_1486,w/o transport-aware footprint,No footprint,0.048085722450097235
sample_1513,w/o transport-aware footprint,No footprint,0.0006595137767997361
sample_1516,w/o transport-aware footprint,No footprint,-0.14260732759446537
sample_1529,w/o transport-aware footprint,No footprint,0.1000438466658059
sample_1566,w/o transport-aware footprint,No footprint,0.062212032660181826
sample_1572,w/o transport-aware footprint,No footprint,-0.1455824379279842
sample_1599,w/o transport-aware footprint,No footprint,0.011438038110117899
sample_1620,w/o transport-aware footprint,No footprint,0.18528598106207012
sample_1634,w/o transport-aware footprint,No footprint,0.190766164287964
sample_1635,w/o transport-aware footprint,No footprint,-0.021686089534396102
sample_1642,w/o transport-aware footprint,No footprint,0.04198384824267576
sample_1643,w/o transport-aware footprint,No footprint,0.04998592311312
sample_1683,w/o transport-aware footprint,No footprint,0.15527003201585798
sample_1686,w/o transport-aware footprint,No footprint,0.0834322917938144
sample_1688,w/o transport-aware footprint,No footprint,-0.12949157176036674
sample_1697,w/o transport-aware footprint,No footprint,0.08589536007365883
sample_1717,w/o transport-aware footprint,No footprint,0.01851270607742561
sample_1718,w/o transport-aware footprint,No footprint,0.11274205586327057
sample_1729,w/o transport-aware footprint,No footprint,0.03814307515279458
sample_1731,w/o transport-aware footprint,No footprint,-0.08270584130783132
sample_1734,w/o transport-aware footprint,No footprint,-0.07226810100585512
sample_1741,w/o transport-aware footprint,No footprint,0.050174849249304376
sample_1760,w/o transport-aware footprint,No footprint,-0.029318524588989092
sample_1765,w/o transport-aware footprint,No footprint,-0.05523778199395635
sample_1787,w/o transport-aware footprint,No footprint,0.02881755594203894
sample_1809,w/o transport-aware footprint,No footprint,0.02554270264415537
sample_1811,w/o transport-aware footprint,No footprint,0.080831912670562
sample_1812,w/o transport-aware footprint,No footprint,-0.09665755931999531
sample_1815,w/o transport-aware footprint,No footprint,0.0405799097566486
sample_1826,w/o transport-aware footprint,No footprint,-0.0004768450132216495
sample_1837,w/o transport-aware footprint,No footprint,0.14902320865609553
sample_1839,w/o transport-aware footprint,No footprint,0.10627188616861571
sample_1843,w/o transport-aware footprint,No footprint,0.06777989876409851
sample_1858,w/o transport-aware footprint,No footprint,0.14491458560958448
sample_1863,w/o transport-aware footprint,No footprint,0.17795144156349418
sample_1865,w/o transport-aware footprint,No footprint,0.12725463069021414
sample_1869,w/o transport-aware footprint,No footprint,-0.029380245142197503
sample_1881,w/o transport-aware footprint,No footprint,-0.03409286783078669
sample_1885,w/o transport-aware footprint,No footprint,-0.08098694300295661
sample_1893,w/o transport-aware footprint,No footprint,0.1425619999541089
sample_1894,w/o transport-aware footprint,No footprint,0.06345079684695487
sample_1904,w/o transport-aware footprint,No footprint,0.16708746719182976
sample_1927,w/o transport-aware footprint,No footprint,0.05078524322479239
sample_1944,w/o transport-aware footprint,No footprint,0.02241342840442495
sample_1989,w/o transport-aware footprint,No footprint,-0.06614768024835893
sample_1993,w/o transport-aware footprint,No footprint,0.08691607187873407
sample_2021,w/o transport-aware footprint,No footprint,0.03768744022691284
sample_2024,w/o transport-aware footprint,No footprint,-0.0021368711924181216
sample_2044,w/o transport-aware footprint,No footprint,0.08179177689564376
sample_2059,w/o transport-aware footprint,No footprint,-0.026547495073686922
sample_2067,w/o transport-aware footprint,No footprint,0.08007983913029693
sample_2069,w/o transport-aware footprint,No footprint,0.013678544987829055
sample_2070,w/o transport-aware footprint,No footprint,-0.024544510849958123
sample_2072,w/o transport-aware footprint,No footprint,-0.0036973954276395826
sample_2077,w/o transport-aware footprint,No footprint,0.10822472023694996
sample_2079,w/o transport-aware footprint,No footprint,0.083332489908441
sample_2086,w/o transport-aware footprint,No footprint,-0.004105293396478138
sample_2087,w/o transport-aware footprint,No footprint,0.07757540627677473
sample_2111,w/o transport-aware footprint,No footprint,0.04284633860451226
sample_2119,w/o transport-aware footprint,No footprint,0.01759229389994632
sample_2121,w/o transport-aware footprint,No footprint,-0.06661332214046423
sample_2129,w/o transport-aware footprint,No footprint,-0.34266891655552556
sample_2166,w/o transport-aware footprint,No footprint,-0.03381062618461739
sample_2167,w/o transport-aware footprint,No footprint,0.0852828730364541
sample_2172,w/o transport-aware footprint,No footprint,0.029447614095901242
sample_2175,w/o transport-aware footprint,No footprint,0.09214481488843607
sample_2196,w/o transport-aware footprint,No footprint,0.17928897041712288
sample_2199,w/o transport-aware footprint,No footprint,0.021000289845467868
sample_2202,w/o transport-aware footprint,No footprint,-0.03965162599695182
sample_2207,w/o transport-aware footprint,No footprint,0.10140779089550833
sample_2208,w/o transport-aware footprint,No footprint,0.048710311177756926
sample_2209,w/o transport-aware footprint,No footprint,0.10204634125671364
sample_2225,w/o transport-aware footprint,No footprint,-0.06896106288257664
sample_2234,w/o transport-aware footprint,No footprint,0.06516509078261257
sample_2259,w/o transport-aware footprint,No footprint,-0.026038524791980766
sample_2263,w/o transport-aware footprint,No footprint,0.012822358468661865
sample_2266,w/o transport-aware footprint,No footprint,-0.0800923682630032
sample_2270,w/o transport-aware footprint,No footprint,0.22119230521984684
sample_2271,w/o transport-aware footprint,No footprint,-0.07361878047712256
sample_2281,w/o transport-aware footprint,No footprint,-0.05950047548026427
sample_2293,w/o transport-aware footprint,No footprint,-0.004060829840745517
sample_2299,w/o transport-aware footprint,No footprint,0.08168400285515709
sample_2306,w/o transport-aware footprint,No footprint,-0.009390642400738392
sample_2323,w/o transport-aware footprint,No footprint,0.008991615124399166
sample_2357,w/o transport-aware footprint,No footprint,0.04212362643142398
sample_2361,w/o transport-aware footprint,No footprint,0.02055795886190459
sample_2372,w/o transport-aware footprint,No footprint,0.18931984426465231
sample_2375,w/o transport-aware footprint,No footprint,0.0028818021932692783
sample_2378,w/o transport-aware footprint,No footprint,0.05118102463374463
sample_2385,w/o transport-aware footprint,No footprint,0.03484621846651548
sample_2409,w/o transport-aware footprint,No footprint,0.1726877065407409
sample_2413,w/o transport-aware footprint,No footprint,-0.2269917226369399
sample_2418,w/o transport-aware footprint,No footprint,0.09106123580941183
sample_2435,w/o transport-aware footprint,No footprint,0.006373605772691304
sample_2440,w/o transport-aware footprint,No footprint,-0.16106786966155917
sample_2442,w/o transport-aware footprint,No footprint,0.1172971192442881
sample_2453,w/o transport-aware footprint,No footprint,-0.014322197581509766
sample_2472,w/o transport-aware footprint,No footprint,-0.16792495815629138
sample_2477,w/o transport-aware footprint,No footprint,0.0872150681151862
sample_2478,w/o transport-aware footprint,No footprint,-0.2006639058786569
sample_2483,w/o transport-aware footprint,No footprint,0.039167655743808094
sample_2494,w/o transport-aware footprint,No footprint,-0.1293362672442352
sample_2505,w/o transport-aware footprint,No footprint,0.09003274499158886
sample_2533,w/o transport-aware footprint,No footprint,0.21961747869916448
sample_2536,w/o transport-aware footprint,No footprint,0.016348755473941434
sample_2584,w/o transport-aware footprint,No footprint,0.039119944998485257
sample_2589,w/o transport-aware footprint,No footprint,-0.04668912582469964
sample_2600,w/o transport-aware footprint,No footprint,-0.03976733084486206
sample_2603,w/o transport-aware footprint,No footprint,0.022595792443008245
sample_2614,w/o transport-aware footprint,No footprint,0.22024878451711533
sample_2643,w/o transport-aware footprint,No footprint,-0.09769814595305415
sample_2650,w/o transport-aware footprint,No footprint,0.225112649944319
sample_2655,w/o transport-aware footprint,No footprint,0.11151832296868391
sample_2676,w/o transport-aware footprint,No footprint,-0.052033725211603654
sample_2682,w/o transport-aware footprint,No footprint,-0.09722014782656785
sample_2684,w/o transport-aware footprint,No footprint,-0.07847613497043127
sample_2698,w/o transport-aware footprint,No footprint,-0.010991243799487349
sample_2702,w/o transport-aware footprint,No footprint,-0.11086819956442617
sample_2711,w/o transport-aware footprint,No footprint,0.01277486712315934
sample_2719,w/o transport-aware footprint,No footprint,0.008134022340414493
sample_2741,w/o transport-aware footprint,No footprint,0.07639966957427857
sample_2745,w/o transport-aware footprint,No footprint,-0.20157807944610673
sample_2747,w/o transport-aware footprint,No footprint,-0.05899194129352103
sample_2751,w/o transport-aware footprint,No footprint,0.15157332653673183
sample_2759,w/o transport-aware footprint,No footprint,0.02966146801926639
sample_2769,w/o transport-aware footprint,No footprint,-0.30823664616164953
sample_2771,w/o transport-aware footprint,No footprint,0.018188703254161
sample_2784,w/o transport-aware footprint,No footprint,0.18560335665123773
sample_2799,w/o transport-aware footprint,No footprint,-0.0203684858253802
sample_2804,w/o transport-aware footprint,No footprint,0.06640247900762697
sample_2833,w/o transport-aware footprint,No footprint,0.09103082158765441
sample_2844,w/o transport-aware footprint,No footprint,-0.018102794077436646
sample_2850,w/o transport-aware footprint,No footprint,0.014390926111081503
sample_2872,w/o transport-aware footprint,No footprint,0.06720775347936847
sample_2873,w/o transport-aware footprint,No footprint,-0.0042808412464337975
sample_2874,w/o transport-aware footprint,No footprint,0.12100332535503389
sample_2887,w/o transport-aware footprint,No footprint,-0.1542109767195078
sample_2909,w/o transport-aware footprint,No footprint,-0.0053213208582455485
sample_2932,w/o transport-aware footprint,No footprint,0.021206587966195345
sample_2934,w/o transport-aware footprint,No footprint,0.14922041194138502
sample_2936,w/o transport-aware footprint,No footprint,0.04605941468578617
sample_2945,w/o transport-aware footprint,No footprint,0.058909127153753404
sample_2948,w/o transport-aware footprint,No footprint,0.0461369084003872
sample_2951,w/o transport-aware footprint,No footprint,0.028119260624859477
sample_2956,w/o transport-aware footprint,No footprint,0.06548165195341449
sample_2961,w/o transport-aware footprint,No footprint,-0.022548091381459856
sample_2977,w/o transport-aware footprint,No footprint,0.11396867544330958
sample_2987,w/o transport-aware footprint,No footprint,-0.08902186815073043
sample_2993,w/o transport-aware footprint,No footprint,-0.035873723914923605
sample_0002,w/o query-canonical reliability,No reliability,-0.00607514584190616
sample_0006,w/o query-canonical reliability,No reliability,0.04614696968455978
sample_0022,w/o query-canonical reliability,No reliability,0.05742727098428113
sample_0032,w/o query-canonical reliability,No reliability,0.00817454932346684
sample_0038,w/o query-canonical reliability,No reliability,0.011073982227161383
sample_0079,w/o query-canonical reliability,No reliability,0.01594261113388351
sample_0096,w/o query-canonical reliability,No reliability,0.06080482640047069
sample_0100,w/o query-canonical reliability,No reliability,-0.00897276696557131
sample_0108,w/o query-canonical reliability,No reliability,-0.20989198574940338
sample_0113,w/o query-canonical reliability,No reliability,0.10891328260751965
sample_0122,w/o query-canonical reliability,No reliability,0.03418894694203656
sample_0128,w/o query-canonical reliability,No reliability,0.04860043038308437
sample_0130,w/o query-canonical reliability,No reliability,0.03853106660617689
sample_0158,w/o query-canonical reliability,No reliability,0.024600217017813897
sample_0163,w/o query-canonical reliability,No reliability,0.07668182297802328
sample_0180,w/o query-canonical reliability,No reliability,0.07701948088637245
sample_0187,w/o query-canonical reliability,No reliability,0.10627147889600363
sample_0189,w/o query-canonical reliability,No reliability,0.06255615524055069
sample_0192,w/o query-canonical reliability,No reliability,0.04017572357210275
sample_0207,w/o query-canonical reliability,No reliability,0.043925661517671966
sample_0234,w/o query-canonical reliability,No reliability,0.07718401166814626
