sample_id,num_foci,depth_tier,source_type_x,shape_set_x,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method,dice,precision,recall,success,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,source_centers_mm,source_intensities,shape_set_y,source_type_y
sample_1112,3,medium,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6140102225054553,,w/o source-relative query cue,0.68869699454885,0.7577494692146944,0.6311787072246606,False,3,6.248199740725324,0.5018662836459203,"[[12.4, 25.200000000000003, 8.6], [8.0, 31.8, 10.600000000000001], [16.400000000000002, 25.200000000000003, 3.8000000000000003]]","[0.8656287439667854, 0.8184282882710069, 1.6307696192008572]",,uniform
sample_1126,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.4562222222222222,,w/o source-relative query cue,0.626631056848816,0.4645847476810764,0.962268572767841,True,1,,1.0,"[[23.8, 26.6, 5.800000000000001]]",[1.4147925397548518],,uniform
sample_1133,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.634393434213901,,w/o source-relative query cue,0.7763044331111995,0.6351264603933302,0.9981840193704636,True,1,,1.0,"[[6.4, 28.0, 11.4]]",[1.7365698156179596],,uniform
sample_1135,3,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4833590325016572,,w/o source-relative query cue,0.6095784428427333,0.9907986750092126,0.4402049493080561,True,3,3.8418745424597103,0.8344160538504245,"[[12.0, 29.400000000000002, 15.600000000000001], [15.8, 22.0, 6.0], [18.400000000000002, 20.0, 8.0]]","[1.2019079958883991, 1.0028913270204702, 1.0271013272180367]",,uniform
sample_1139,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.3018867924528302,,w/o source-relative query cue,0.4639252083195827,0.3020199347276157,1.0,True,1,,1.0,"[[21.6, 28.8, 9.4]]",[1.1027310245976345],,uniform
sample_1167,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.7128994054987289,,w/o source-relative query cue,0.8465330618369701,0.8305993690853516,0.8630900349651844,True,2,11.518680479985544,0.5634975639357582,"[[17.2, 28.400000000000002, 9.4], [26.400000000000002, 33.4, 14.200000000000001]]","[1.2398542292319294, 0.6986548378076394]",,uniform
sample_1175,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.6879566641471403,,w/o source-relative query cue,0.8151962979550565,0.7192150665089961,0.9407407407408428,True,1,,1.0,"[[7.6000000000000005, 35.4, 6.6000000000000005]]",[0.8016991298114093],,uniform
sample_1185,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.4563210873227022,,w/o source-relative query cue,0.6389308366055279,0.4780790960457874,0.9629039599454644,True,2,10.64894360957931,0.5608410496496863,"[[16.400000000000002, 23.6, 5.4], [8.6, 26.6, 12.0]]","[1.7536854584893726, 0.9835387932945712]",,uniform
sample_1211,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.5737854251012146,,w/o source-relative query cue,0.7292256238746275,0.5738435064282074,1.0,True,1,,1.0,"[[24.8, 34.0, 13.600000000000001]]",[1.6753562844522145],,uniform
sample_1215,2,shallow,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4778485746684879,,w/o source-relative query cue,0.8237260343088346,0.8829772850190083,0.7719267139481254,True,2,12.074767078498866,0.5088373692640419,"[[17.8, 23.0, 9.0], [24.200000000000003, 33.0, 6.800000000000001]]","[1.7075637540113062, 0.8688722484417446]",,uniform
sample_1230,3,deep,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4314452628473496,,w/o source-relative query cue,0.6256497401041455,0.4572618351844993,0.990348101265838,True,3,10.667708282475669,0.4035806482835489,"[[27.0, 25.400000000000002, 8.4], [11.4, 31.8, 12.0], [6.6000000000000005, 25.8, 4.6000000000000005]]","[0.7918321389229362, 1.5152620781023884, 0.6115304518000394]",,uniform
sample_1244,1,shallow,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.6658329708568943,,w/o source-relative query cue,0.799451625538713,0.6768737563567577,0.9762436224490176,True,1,,1.0,"[[10.600000000000001, 24.0, 7.4]]",[1.3809242989685004],,uniform
