sample_id,comparison,num_foci,delta_dice,delta_component_recall,delta_merge_count,ssq_dice,ablation_dice,ssq_merge_count,ablation_merge_count
sample_0953,w/o transport-aware footprint,1,0.05026038577761616,0.0,0.0,0.9014998183611236,0.8512394325835074,0.0,0.0
sample_0960,w/o transport-aware footprint,1,0.14930366279911922,0.0,0.0,0.9455816275587072,0.796277964759588,0.0,0.0
sample_0974,w/o transport-aware footprint,2,0.11210621472700733,0.0,0.0,0.8090008613266483,0.696894646599641,0.0,0.0
sample_0977,w/o transport-aware footprint,3,0.026283656871933347,-0.33333333333333337,0.0,0.6303853064485405,0.6041016495766072,0.0,0.0
sample_0979,w/o transport-aware footprint,1,0.08799376601913045,0.0,0.0,0.8319367588934135,0.743942992874283,0.0,0.0
sample_1000,w/o transport-aware footprint,3,0.09617529833409622,0.0,-1.0,0.7908607863975606,0.6946854880634644,0.0,1.0
sample_1002,w/o transport-aware footprint,2,-0.08208658825904214,0.0,0.0,0.6305578621576091,0.7126444504166513,0.0,0.0
sample_1003,w/o transport-aware footprint,3,0.07105181444921727,0.0,0.0,0.7780484423583907,0.7069966279091734,1.0,1.0
sample_1015,w/o transport-aware footprint,3,0.004664205281006528,0.0,1.0,0.8223303076304029,0.8176661023493964,1.0,0.0
sample_1018,w/o transport-aware footprint,1,0.1079332165092951,0.0,0.0,0.8583881327421178,0.7504549162328227,0.0,0.0
sample_1028,w/o transport-aware footprint,2,0.012718428603473275,0.5,-1.0,0.7154992158914562,0.7027807872879829,0.0,1.0
sample_1068,w/o transport-aware footprint,3,-0.2716043515944657,0.0,0.0,0.5916679833572488,0.8632723349517145,0.0,0.0
sample_1069,w/o transport-aware footprint,3,-0.1416492745856791,0.0,0.0,0.5525016044871076,0.6941508790727867,0.0,0.0
sample_1072,w/o transport-aware footprint,3,0.052983988374569746,0.0,0.0,0.5440317972924507,0.4910478089178809,1.0,1.0
sample_1078,w/o transport-aware footprint,2,0.035134654711734714,0.0,0.0,0.7659908231696279,0.7308561684578931,0.0,0.0
