sample_id,num_foci,depth_tier,source_type,shape_set,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method
sample_0712,2,shallow,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5488632181104631,,SSQ-FMT
sample_0751,3,shallow,uniform,irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.7025100264888731,,SSQ-FMT
sample_0761,1,deep,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.8203033838973163,,SSQ-FMT
sample_0777,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.7850100825654367,,SSQ-FMT
sample_0778,1,deep,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.6043923692887423,,SSQ-FMT
sample_0791,1,medium,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.8445195557701594,,SSQ-FMT
sample_0796,1,deep,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.8723049281314168,,SSQ-FMT
sample_0807,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.7822354300808981,,SSQ-FMT
sample_0817,1,shallow,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.7064985036340317,,SSQ-FMT
sample_0823,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.4174582479667225,,SSQ-FMT
sample_0858,3,deep,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.6503256024313006,,SSQ-FMT
sample_0860,3,deep,uniform,ellipsoid+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.7642778281166559,,SSQ-FMT
sample_0867,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6292749061484781,,SSQ-FMT
sample_0870,3,shallow,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.466781204244704,,SSQ-FMT
sample_0875,3,shallow,uniform,sphere,3,3,3,0,0,0,0,1.0,1.0,0.6713965341810885,,SSQ-FMT
sample_0881,3,deep,uniform,ellipsoid+irregular,1,2,1,0,1,0,1,1.0,0.5,0.4213777611381505,,SSQ-FMT
sample_0895,2,deep,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.5416847556832884,,SSQ-FMT
sample_0911,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.3241474038142979,,SSQ-FMT
sample_0913,2,shallow,uniform,ellipsoid,2,2,2,0,0,0,0,1.0,1.0,0.4749674138887813,,SSQ-FMT
sample_0914,1,deep,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.316372624222279,,SSQ-FMT
sample_0920,1,medium,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.5756891634980988,,SSQ-FMT
sample_0932,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.232434683043614,,SSQ-FMT
sample_0942,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5245195675346429,,SSQ-FMT
sample_0953,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.8205867069771836,,SSQ-FMT
