sample_id,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,minimum_source_volume,shape_set,source_type,metadata_missing
sample_2259,2,13.69379421489895,0.9945712152642139,968.0,,uniform,False
sample_2263,2,8.802272433866154,0.6849581987347181,1640.0,,uniform,False
sample_2266,2,8.930845424706442,0.3863287899029743,2008.0,,uniform,False
sample_2270,3,4.064480286580315,0.41730383770842294,968.0,,uniform,False
sample_2271,3,4.45869936192159,0.39515756437490585,1168.0,,uniform,False
sample_2281,2,13.001538370516009,0.42742123405132265,4896.0,,uniform,False
sample_2293,1,,1.0,12216.0,,uniform,False
sample_2299,1,,1.0,3338.0,,uniform,False
sample_2306,3,6.529931086925802,0.8493920031609223,5904.0,,uniform,False
sample_2323,3,5.830951894845299,0.6242537401920346,8027.0,,uniform,False
sample_2357,3,5.429548784199289,0.47135777950986685,1328.0,,uniform,False
sample_2361,2,10.091580649234293,0.9192623350611916,968.0,,uniform,False
sample_2372,3,2.891366458960192,0.526465860539217,2864.0,,uniform,False
sample_2375,2,10.303397497913005,0.9003802748308155,3373.0,,uniform,False
sample_2378,3,6.203224967708327,0.38978078901902924,3448.0,,uniform,False
sample_2385,2,29.21095684841563,0.873650350820992,2302.0,,uniform,False
sample_2409,2,14.963956696007914,0.5379342174743773,2024.0,,uniform,False
sample_2413,3,5.560575509783139,0.46390596614451124,987.0,,uniform,False
sample_2418,1,,1.0,3912.0,,uniform,False
sample_2435,1,,1.0,4110.0,,uniform,False
sample_2440,2,8.084553172563094,0.4982514557972689,1120.0,,uniform,False
sample_2442,3,8.2,0.7151489859736667,552.0,,uniform,False
sample_2453,1,,1.0,7984.0,,uniform,False
sample_2472,2,11.532562594670797,0.6407062497624233,4640.0,,uniform,False
sample_2477,2,9.4424573072903,0.7057348693024033,6861.0,,uniform,False
sample_2478,3,5.145872132107444,0.542759220973009,552.0,,uniform,False
sample_2483,3,14.195774019052289,0.607999962230681,2800.0,,uniform,False
sample_2494,3,3.7788887255382364,0.5931558129448137,12671.0,,uniform,False
sample_2505,3,4.586937976471885,0.4707189005964269,632.0,,uniform,False
sample_2533,1,,1.0,5628.0,,uniform,False
sample_2536,3,4.770744176750624,0.5770324008746088,1240.0,,uniform,False
sample_2584,1,,1.0,7771.0,,uniform,False
sample_2589,3,7.238784428341543,0.6383940428614563,2272.0,,uniform,False
sample_2600,1,,1.0,5400.0,,uniform,False
sample_2603,1,,1.0,11312.0,,uniform,False
