sample_id,num_foci,depth_tier,source_type,shape_set,shape_class,has_sphere,has_ellipsoid,has_irregular,dice,iou,precision,recall,nrmse,psnr,ssim,cle,ple,cnr,flops_g,volume_error,assd,hd95,inference_time_ms,peak_gpu_memory_mb,pred_positive_count,gt_positive_count,method
sample_0240,2,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.8426555531184314,0.7280940046751355,0.9706080512043368,0.7445090439278136,0.0319374538958072,29.91399363869298,0.9932676046636708,2.652390446927671,15.269577597301112,2.010254777046073,,0.2329457364341085,0.1931112252209445,0.447213595499958,3341.760814000736,3734.6015625,11874,15480,SSQ-FMT
sample_0248,3,deep,uniform,irregular,irregular,0,0,1,0.8549960797979234,0.7467189104881703,0.9459303166112736,0.7800119213193801,0.0315110720694065,30.03073658429959,0.9904481526216206,1.4662270662456898,3.0854497241083023,2.219979880461997,,0.1754023445261275,0.1961657458832381,0.5656854249492381,3307.465822006634,3734.9765625,20751,25165,SSQ-FMT
sample_0260,3,medium,uniform,sphere,sphere,1,0,0,0.4978645515561331,0.3314378554026552,0.7524898561421016,0.3719912472653428,0.0257599912583827,31.781086007950087,0.991773558607583,1.3792620647995149,7.830708780180758,0.9115859911475231,,0.5056528081692195,0.5560771340871219,1.854723699099141,3497.6474959985358,3735.3515625,5422,10968,SSQ-FMT
sample_0276,2,shallow,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.8045966184713397,0.673075407769543,0.7276599369624945,0.8997261428271542,0.0249930638819932,32.04360930815967,0.9930502451886728,0.3772025626117818,12.168812596141008,3.7249901128075087,,0.2364651358752896,0.2197406496539871,0.6000000000000001,3361.8794369976968,3734.1640625,11739,9494,SSQ-FMT
sample_0280,1,shallow,uniform,irregular,irregular,0,0,1,0.4000562271585605,0.2500439290120365,0.2500439290120365,1.0,0.0304009895771741,30.342245011765694,0.9952879722936128,0.1232614815134143,1.7320508075688774,32.82699898150533,,2.999297259311314,0.7124683577235217,1.0954451150103324,3341.81397199427,3735.1015625,5691,1423,SSQ-FMT
sample_0290,3,medium,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.6179762227473113,0.447153104685358,0.952716417910504,0.4573016964698204,0.0452112630009651,26.89506663930971,0.9895363739764536,1.9545504118234789,14.878171930717835,1.0296890328121622,,0.5200022925263641,0.5151452021293371,2.297825058615212,3523.794150998583,3734.6015625,8375,17448,SSQ-FMT
sample_0297,1,shallow,uniform,irregular,irregular,0,0,1,0.7465009023462015,0.5955336575380116,0.9996777658431796,0.5956480000002589,0.0382247008383274,28.3531179308755,0.9927103189097758,0.4172893820748362,2.5455844122715714,1.3144184733704525,,0.40416,0.3856480566450664,0.8246211251235323,3385.1795109949308,3734.9765625,9310,15625,SSQ-FMT
sample_0300,3,shallow,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.6764667163984043,0.5111066905380869,0.5279452054797753,0.9412626694346792,0.0408445969223976,27.77730802746373,0.9888624528861594,1.8578605234915415,10.13903348450926,4.132142377345862,,0.7828794724630602,0.36113018962568,0.7211102550927979,3328.396156997769,3735.3515625,14600,8189,SSQ-FMT
sample_0308,2,deep,uniform,irregular,irregular,0,0,1,0.8487514049749065,0.7372442482386135,0.9378982611513792,0.7750803284543243,0.0250306203961372,32.03056758730823,0.9951409885470918,1.6465856302019843,1.9287301521985911,2.0722899995323028,,0.173598714744734,0.1661921732636438,0.6000000000000001,3580.243367003277,3734.1640625,9259,11204,SSQ-FMT
sample_0322,2,deep,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.7474959672882366,0.5968012459568727,0.6283425832494776,0.9224145912416236,0.0360190458595752,28.86935599615129,0.9914490705253236,0.4052158394064781,3.4467375879228177,3.881037901708374,,0.4680122210906398,0.3295195638986893,0.7211102550927979,3469.4943650029018,3735.1015625,15856,10801,SSQ-FMT
sample_0328,1,medium,uniform,irregular,irregular,0,0,1,0.886400197995368,0.7959773308147616,0.8978440711959165,0.8752443792767898,0.0193334743380546,34.27380220562567,0.9969239192607576,0.2688430828566308,2.0,2.9757319401451365,,0.0251710654936461,0.1262960586137065,0.3464101615137755,3409.555928999908,3734.6015625,7978,8184,SSQ-FMT
sample_0335,1,shallow,uniform,ellipsoid,ellipsoid,0,1,0,0.7674376905148221,0.622636019785245,0.622636019785245,1.0,0.0234338399022817,32.60313113473902,0.9960869342264445,0.129160410411463,0.447213595499958,38.4049687100536,,0.6060747663551402,0.269098210871989,0.447213595499958,3326.4292419989943,3734.9765625,6874,4280,SSQ-FMT
